Timestamp,Emotion,Confidence
00-00-22.026,angry,"{'angry': 98.98104095458984, 'disgust': 3.104692594948843e-16, 'fear': 8.11799181974493e-05, 'happy': 1.018864631652832, 'sad': 6.074338898542919e-07, 'surprise': 1.1787591073654622e-16, 'neutral': 8.423765424454474e-16}"
00-00-22.360,angry,"{'angry': 97.25279998779297, 'disgust': 0.0011052376357838511, 'fear': 1.9814770221710205, 'happy': 0.1192520409822464, 'sad': 0.35623377561569214, 'surprise': 0.017649751156568527, 'neutral': 0.2714843451976776}"
00-00-22.694,sad,"{'angry': 0.8538585305213928, 'disgust': 9.739987945067696e-07, 'fear': 0.1437680721282959, 'happy': 1.1269145011901855, 'sad': 94.76945495605469, 'surprise': 0.009476817212998867, 'neutral': 3.0965278148651123}"
00-00-23.028,neutral,"{'angry': 25.5769100189209, 'disgust': 0.0002664122439455241, 'fear': 3.2927441596984863, 'happy': 6.88946008682251, 'sad': 15.484060287475586, 'surprise': 23.17960548400879, 'neutral': 25.576955795288086}"
00-00-23.361,angry,"{'angry': 50.74766159057617, 'disgust': 0.03216080367565155, 'fear': 4.905122756958008, 'happy': 3.26830792427063, 'sad': 9.267250061035156, 'surprise': 9.642168045043945, 'neutral': 22.1373291015625}"
00-00-23.695,angry,"{'angry': 73.939208984375, 'disgust': 0.019080383703112602, 'fear': 1.8496862649917603, 'happy': 1.048094630241394, 'sad': 15.692076683044434, 'surprise': 0.11862073838710785, 'neutral': 7.333232879638672}"
00-00-24.029,angry,"{'angry': 58.2055778503418, 'disgust': 0.1053343266248703, 'fear': 6.854405879974365, 'happy': 3.3172411918640137, 'sad': 11.289101600646973, 'surprise': 1.721269965171814, 'neutral': 18.50707244873047}"
00-00-24.363,angry,"{'angry': 99.70838928222656, 'disgust': 0.0006390126654878259, 'fear': 0.178867906332016, 'happy': 0.02881750278174877, 'sad': 0.07573888450860977, 'surprise': 0.0007622581906616688, 'neutral': 0.006771977990865707}"
00-00-24.696,angry,"{'angry': 99.80245971679688, 'disgust': 0.0005510907503776252, 'fear': 0.14279793202877045, 'happy': 0.036228831857442856, 'sad': 0.016263095661997795, 'surprise': 0.0002757019246928394, 'neutral': 0.0014291370753198862}"
00-00-25.030,angry,"{'angry': 97.93815612792969, 'disgust': 0.0009249805007129908, 'fear': 0.10842764377593994, 'happy': 0.8791128396987915, 'sad': 0.2470378279685974, 'surprise': 0.014021954499185085, 'neutral': 0.8123210668563843}"
00-00-25.364,happy,"{'angry': 1.4001816511154175, 'disgust': 0.03277936950325966, 'fear': 36.118553161621094, 'happy': 52.33045196533203, 'sad': 1.5426099300384521, 'surprise': 7.339194297790527, 'neutral': 1.2362260818481445}"
00-00-25.697,fear,"{'angry': 12.44640064239502, 'disgust': 0.015847789123654366, 'fear': 76.44585418701172, 'happy': 4.17212438583374, 'sad': 3.16911244392395, 'surprise': 2.587385416030884, 'neutral': 1.1632802486419678}"
00-00-26.031,angry,"{'angry': 46.752891540527344, 'disgust': 0.011900028213858604, 'fear': 34.00172424316406, 'happy': 8.219745635986328, 'sad': 8.128982543945312, 'surprise': 0.6011419296264648, 'neutral': 2.2836172580718994}"
00-00-26.365,angry,"{'angry': 99.47199249267578, 'disgust': 3.957657260993206e-15, 'fear': 0.00037767819594591856, 'happy': 0.5276188850402832, 'sad': 1.4881552488077432e-05, 'surprise': 2.2618704602335807e-16, 'neutral': 4.846771855387955e-13}"
00-00-26.699,angry,"{'angry': 99.997314453125, 'disgust': 4.748709802934819e-20, 'fear': 5.437819254439091e-06, 'happy': 0.002656536642462015, 'sad': 2.1163119527045637e-05, 'surprise': 1.2600456003510909e-20, 'neutral': 7.310429553748158e-16}"
00-00-27.032,angry,"{'angry': 99.99102783203125, 'disgust': 2.120985984745835e-16, 'fear': 5.6409531680401415e-05, 'happy': 0.0025961592327803373, 'sad': 0.006319671869277954, 'surprise': 8.285312404687425e-14, 'neutral': 1.4183257235345081e-07}"
00-00-27.366,angry,"{'angry': 99.04310607910156, 'disgust': 5.237599850355101e-12, 'fear': 0.0008852087194100022, 'happy': 0.030528752133250237, 'sad': 0.923989474773407, 'surprise': 5.3804120880851514e-11, 'neutral': 0.0014864210970699787}"
00-00-27.700,angry,"{'angry': 99.47625732421875, 'disgust': 1.853017522410183e-13, 'fear': 0.0028538228943943977, 'happy': 0.0013149831211194396, 'sad': 0.5194324254989624, 'surprise': 3.865914879885857e-11, 'neutral': 0.00013488468539435416}"
00-00-28.034,angry,"{'angry': 94.09304809570312, 'disgust': 5.919706565216121e-12, 'fear': 0.007711656857281923, 'happy': 0.0024956793058663607, 'sad': 5.855670928955078, 'surprise': 6.552302700413293e-09, 'neutral': 0.04106294363737106}"
00-00-28.367,sad,"{'angry': 0.013546210713684559, 'disgust': 1.4729881203656703e-10, 'fear': 0.00809347815811634, 'happy': 0.048489656299352646, 'sad': 75.93656921386719, 'surprise': 0.00012060684093739837, 'neutral': 23.993183135986328}"
00-00-28.701,happy,"{'angry': 0.0006544380448758602, 'disgust': 4.147829215511711e-12, 'fear': 0.002180403331294656, 'happy': 57.30634307861328, 'sad': 1.4206351041793823, 'surprise': 0.0009234090684913099, 'neutral': 41.26926803588867}"
00-00-29.035,angry,"{'angry': 95.98304748535156, 'disgust': 0.36780816316604614, 'fear': 3.0973894596099854, 'happy': 0.3561170697212219, 'sad': 0.1345681995153427, 'surprise': 0.05973415449261665, 'neutral': 0.0013304190943017602}"
00-00-29.369,angry,"{'angry': 99.9955062866211, 'disgust': 2.873418447624232e-10, 'fear': 0.00015178765170276165, 'happy': 0.0022623727563768625, 'sad': 0.0020594855304807425, 'surprise': 7.692285208804606e-08, 'neutral': 1.5342193364631385e-05}"
00-00-29.702,angry,"{'angry': 99.58338165283203, 'disgust': 0.00021718211064580828, 'fear': 0.02573256939649582, 'happy': 0.03186628222465515, 'sad': 0.1018751934170723, 'surprise': 0.17477132380008698, 'neutral': 0.0821652039885521}"
00-00-30.036,angry,"{'angry': 99.77547454833984, 'disgust': 1.3418123501196533e-08, 'fear': 0.0003047935897484422, 'happy': 0.18250471353530884, 'sad': 0.005753166973590851, 'surprise': 0.003711333265528083, 'neutral': 0.03224962577223778}"
00-00-30.370,angry,"{'angry': 90.32706451416016, 'disgust': 4.4501925202614784e-14, 'fear': 0.00032325743813998997, 'happy': 7.544462732766988e-06, 'sad': 9.418935775756836, 'surprise': 3.634500903362814e-12, 'neutral': 0.2536628544330597}"
00-00-30.703,angry,"{'angry': 91.71468353271484, 'disgust': 8.395045184191041e-15, 'fear': 0.00018200768681708723, 'happy': 1.4738207028131e-06, 'sad': 8.20055866241455, 'surprise': 4.786643629205167e-13, 'neutral': 0.08458278328180313}"
00-00-31.037,angry,"{'angry': 95.20369720458984, 'disgust': 2.6174675969851448e-16, 'fear': 5.4519096011063084e-05, 'happy': 6.606462648051092e-07, 'sad': 4.765015125274658, 'surprise': 9.280516486591742e-14, 'neutral': 0.031237175688147545}"
00-00-31.371,angry,"{'angry': 98.98985290527344, 'disgust': 2.898420186870495e-19, 'fear': 4.4028079173585866e-06, 'happy': 1.9865635181304242e-07, 'sad': 1.0013312101364136, 'surprise': 2.837252688583816e-15, 'neutral': 0.008814522065222263}"
00-00-31.705,angry,"{'angry': 98.9813232421875, 'disgust': 1.4787345476415262e-18, 'fear': 3.079847010667436e-05, 'happy': 1.3093242046124942e-07, 'sad': 1.0104864835739136, 'surprise': 1.6536143114531665e-14, 'neutral': 0.008167685009539127}"
00-00-32.038,angry,"{'angry': 99.38978576660156, 'disgust': 2.2337038023232925e-17, 'fear': 1.84612836164888e-05, 'happy': 7.642680429853499e-06, 'sad': 0.5848664045333862, 'surprise': 3.125829944276154e-13, 'neutral': 0.02532653510570526}"
00-00-32.372,angry,"{'angry': 99.81991577148438, 'disgust': 4.760085381416701e-11, 'fear': 0.00010982565436279401, 'happy': 7.888520485721529e-06, 'sad': 0.1799279749393463, 'surprise': 2.167455397019541e-13, 'neutral': 4.706235995399766e-05}"
00-00-32.706,angry,"{'angry': 99.91470336914062, 'disgust': 2.1828719387606554e-12, 'fear': 1.0820619536389131e-05, 'happy': 0.003155875252559781, 'sad': 0.08149842917919159, 'surprise': 5.460746965724184e-09, 'neutral': 0.0006322135450318456}"
